"function multiply(numeroUm, numeroDois)","multiply(2, 5)",,,
let resultado = 0,let i = 0,"i < numeroUm ","add(resultado, numeroDois)",
0,0,true,5,
5,1,true,10,
10,2,false,,
return 10,,,,
,,,,
"function power(x, n)","power(2, 8)",,,
let resultado = x,let i = 0,i < n -1,"multiply(resultado, x)",
2,0,true,4,
4,1,true,8,
8,2,true,16,
16,3,true,32,
32,4,true,64,
64,5,true,128,
128,6,true,256,
256,7,false,,
return 256,,,,
,,,,
function factorial(numero),factorial(4),,,
let arrayNumero = [],let i = numero,i > 0,arrayNumero.push(i),
[],4,true,4,
[4],3,true,3,
"[4, 3]",2,true,2,
"[4, 3, 2]",1,true,1,
"[4, 3, 2, 1]",0,false,,
"let arrayNumero = [4, 3, 2, 1]",,,,
let resultado = numero,let i = 1,i < arrayNumero.length,"multiply(resultado, arrayNumero[i])",
4,1,true,12,
12,2,true,24,
24,3,true,24,
24,4,"false ",,
return 24,,,,
,,,,
function fibonacci(n),fibonacci(7),,,
"let arrayResultado = [0, 1]",let resultado = 0,let i = 1,i < n,"add(arrayResultado[i], arrayResultado[i-1])"
"[0, 1]",0,1,true,1
"[0, 1, 1]",1,2,true,2
"[0, 1, 1, 2]",2,3,true,3
"[0, 1, 1, 2, 3]",3,4,true,5
"[0, 1, 1, 2, 3, 5]",5,5,true,8
"[0, 1, 1, 2, 3, 5, 8]",8,6,true,13
"[0, 1, 1, 2, 3, 5, 8, 13]",13,7,false,
return 13,,,,
,,,,